Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2024-07-11,2415.0,2416.699951171875,2378.699951171875,2378.699951171875,72
2024-07-12,2414.0,2414.0,2391.300048828125,2399.800048828125,355
2024-07-15,2422.89990234375,2436.0,2422.89990234375,2430.0,540
2024-07-16,2462.39990234375,2462.39990234375,2427.39990234375,2427.39990234375,93
2024-07-17,2454.800048828125,2473.10009765625,2454.800048828125,2472.89990234375,10
2024-07-18,2451.800048828125,2466.0,2451.800048828125,2466.0,2
2024-07-19,2395.5,2419.199951171875,2395.5,2418.800048828125,15
2024-07-22,2392.0,2402.10009765625,2392.0,2402.10009765625,18
2024-07-23,2404.60009765625,2404.60009765625,2388.699951171875,2395.800048828125,41
2024-07-24,2413.300048828125,2421.0,2411.60009765625,2421.0,6
2024-07-25,2351.89990234375,2365.5,2351.89990234375,2365.5,31
2024-07-26,2380.0,2386.89990234375,2368.699951171875,2368.699951171875,95
2024-07-29,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,126409
2024-07-30,2405.0,2409.300048828125,2373.800048828125,2380.89990234375,25944
2024-07-31,2426.5,2447.60009765625,2402.800048828125,2407.10009765625,1313
2024-08-01,2435.0,2455.10009765625,2430.39990234375,2446.699951171875,690
2024-08-02,2425.699951171875,2477.0,2416.0,2444.0,550
2024-08-05,2401.699951171875,2449.800048828125,2367.39990234375,2442.0,334
2024-08-06,2389.10009765625,2421.800048828125,2380.0,2414.5,163
2024-08-07,2390.5,2401.0,2384.5,2392.199951171875,130
2024-08-08,2422.199951171875,2422.800048828125,2384.300048828125,2384.300048828125,201
2024-08-09,2432.10009765625,2432.10009765625,2418.5,2422.300048828125,611
2024-08-12,2462.39990234375,2469.800048828125,2432.0,2432.699951171875,566
2024-08-13,2466.699951171875,2470.0,2456.5,2461.0,510
2024-08-14,2439.39990234375,2472.10009765625,2439.39990234375,2468.0,274
2024-08-15,2453.10009765625,2467.699951171875,2431.199951171875,2451.800048828125,285
2024-08-16,2498.60009765625,2508.0,2451.39990234375,2453.5,197
2024-08-19,2501.800048828125,2508.5,2487.199951171875,2508.5,88
2024-08-20,2511.300048828125,2527.300048828125,2500.699951171875,2503.5,187
2024-08-21,2508.39990234375,2515.39990234375,2503.89990234375,2511.0,96
2024-08-22,2478.89990234375,2504.10009765625,2471.10009765625,2504.10009765625,210
2024-08-23,2508.39990234375,2508.39990234375,2486.5,2486.5,94
2024-08-26,2517.699951171875,2523.10009765625,2509.10009765625,2509.89990234375,290
2024-08-27,2516.0,2523.10009765625,2506.89990234375,2515.199951171875,100
2024-08-28,2501.0,2501.0,2501.0,2501.0,2353
2024-08-29,2525.699951171875,2525.699951171875,2503.89990234375,2504.10009765625,3966
2024-08-30,2493.800048828125,2525.39990234375,2493.800048828125,2519.5,208
2024-09-03,2489.89990234375,2501.800048828125,2476.300048828125,2501.60009765625,206
2024-09-04,2493.39990234375,2493.39990234375,2483.5,2490.89990234375,470
2024-09-05,2511.39990234375,2513.300048828125,2493.39990234375,2493.699951171875,54
2024-09-06,2493.5,2517.89990234375,2483.699951171875,2510.300048828125,96
2024-09-09,2501.800048828125,2504.699951171875,2491.300048828125,2491.300048828125,96
2024-09-10,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5
2024-09-11,2512.10009765625,2525.800048828125,2502.300048828125,2525.800048828125,90
2024-09-12,2551.199951171875,2557.0,2523.39990234375,2529.10009765625,132
2024-09-13,2581.300048828125,2581.800048828125,2565.0,2568.800048828125,31
2024-09-16,2580.39990234375,2580.39990234375,2580.39990234375,2580.39990234375,28
2024-09-17,2564.300048828125,2581.800048828125,2564.300048828125,2581.199951171875,22
2024-09-18,2570.699951171875,2570.699951171875,2549.199951171875,2570.699951171875,25
2024-09-19,2588.0,2588.0,2566.0,2566.0,99
2024-09-20,2619.89990234375,2621.800048828125,2590.39990234375,2590.39990234375,17
2024-09-23,2626.5,2626.5,2626.5,2626.5,9
2024-09-24,2651.199951171875,2662.300048828125,2625.5,2636.800048828125,35
2024-09-25,2659.199951171875,2664.199951171875,2649.300048828125,2656.300048828125,175
2024-09-26,2669.89990234375,2669.89990234375,2660.800048828125,2662.300048828125,17216
2024-09-27,2644.300048828125,2672.10009765625,2641.699951171875,2670.0,4228
2024-09-30,2636.10009765625,2662.10009765625,2623.199951171875,2660.89990234375,973
2024-10-01,2667.300048828125,2670.89990234375,2631.39990234375,2631.39990234375,153
2024-10-02,2647.10009765625,2657.199951171875,2640.0,2650.60009765625,72
2024-10-03,2657.10009765625,2657.10009765625,2640.0,2642.800048828125,354
2024-10-04,2645.800048828125,2667.0,2639.0,2656.0,114
2024-10-07,2644.800048828125,2657.39990234375,2639.0,2648.699951171875,284
2024-10-08,2615.0,2639.0,2609.300048828125,2639.0,687
2024-10-09,2606.0,2607.699951171875,2603.0,2603.0,152
2024-10-10,2620.60009765625,2628.300048828125,2602.5,2602.5,320
2024-10-11,2657.60009765625,2658.10009765625,2638.199951171875,2638.300048828125,12
2024-10-14,2647.800048828125,2655.300048828125,2647.800048828125,2655.0,40
2024-10-15,2661.39990234375,2661.39990234375,2661.39990234375,2661.39990234375,39
2024-10-16,2674.0,2674.0,2674.0,2674.0,6
2024-10-17,2691.0,2691.699951171875,2677.199951171875,2677.39990234375,30
2024-10-18,2713.699951171875,2719.60009765625,2713.699951171875,2713.699951171875,29
2024-10-21,2723.10009765625,2738.39990234375,2719.5,2721.89990234375,52
2024-10-22,2744.199951171875,2746.0,2728.60009765625,2731.699951171875,93
2024-10-23,2714.39990234375,2742.5,2714.199951171875,2742.5,18
2024-10-24,2734.89990234375,2736.10009765625,2729.0,2729.0,27
2024-10-25,2740.89990234375,2742.39990234375,2725.5,2725.5,29
2024-10-28,2742.89990234375,2742.89990234375,2729.5,2736.10009765625,56
2024-10-29,2768.39990234375,2768.39990234375,2768.39990234375,2768.39990234375,848
2024-10-30,2788.5,2789.0,2774.60009765625,2774.60009765625,231
2024-10-31,2738.300048828125,2787.5,2733.5,2787.39990234375,849
2024-11-01,2738.60009765625,2756.0,2734.199951171875,2745.5,109
2024-11-04,2736.10009765625,2737.10009765625,2736.10009765625,2736.5,16
2024-11-05,2740.300048828125,2743.89990234375,2740.300048828125,2743.0,23
2024-11-06,2667.60009765625,2734.5,2659.39990234375,2734.5,427
2024-11-07,2698.39990234375,2699.10009765625,2662.5,2662.5,676
2024-11-08,2687.5,2694.60009765625,2682.89990234375,2688.5,1038
2024-11-11,2611.199951171875,2671.699951171875,2611.199951171875,2671.699951171875,20
2024-11-12,2600.0,2605.5,2592.800048828125,2605.5,118
2024-11-13,2580.800048828125,2611.800048828125,2580.800048828125,2611.10009765625,53
2024-11-14,2568.199951171875,2576.199951171875,2554.199951171875,2555.10009765625,27
2024-11-15,2565.699951171875,2565.699951171875,2565.699951171875,2565.699951171875,20
2024-11-18,2610.60009765625,2610.699951171875,2589.39990234375,2591.699951171875,136
2024-11-19,2627.10009765625,2627.699951171875,2619.300048828125,2621.89990234375,87
2024-11-20,2648.199951171875,2648.199951171875,2638.5,2638.5,27
2024-11-21,2672.10009765625,2672.10009765625,2655.699951171875,2659.300048828125,33
2024-11-22,2709.89990234375,2710.5,2685.60009765625,2687.5,41
2024-11-25,2616.800048828125,2689.39990234375,2616.800048828125,2689.39990234375,94
2024-11-26,2620.300048828125,2625.60009765625,2620.300048828125,2625.60009765625,177858
2024-11-27,2639.89990234375,2657.89990234375,2627.199951171875,2633.5,61653
2024-11-29,2657.0,2664.300048828125,2620.699951171875,2636.39990234375,3861
2024-12-02,2634.89990234375,2649.800048828125,2621.699951171875,2649.0,695
2024-12-03,2644.699951171875,2654.699951171875,2636.0,2639.0,1062
2024-12-04,2653.800048828125,2658.300048828125,2637.0,2639.199951171875,249
2024-12-05,2626.60009765625,2655.0,2625.699951171875,2652.39990234375,573
2024-12-06,2638.60009765625,2643.10009765625,2617.5,2620.199951171875,571
2024-12-09,2664.89990234375,2677.10009765625,2630.800048828125,2632.10009765625,935
2024-12-10,2697.60009765625,2698.199951171875,2661.0,2662.300048828125,437
2024-12-11,2733.800048828125,2733.800048828125,2693.10009765625,2701.800048828125,3387
2024-12-12,2687.5,2725.10009765625,2677.39990234375,2725.10009765625,2365
2024-12-13,2656.0,2689.300048828125,2647.89990234375,2688.199951171875,1125
2024-12-16,2651.39990234375,2663.300048828125,2651.0,2658.300048828125,877
2024-12-17,2644.39990234375,2652.300048828125,2632.5,2651.800048828125,705
2024-12-18,2636.5,2647.10009765625,2590.199951171875,2644.300048828125,566
2024-12-19,2592.199951171875,2610.300048828125,2582.10009765625,2582.10009765625,238
2024-12-20,2628.699951171875,2631.60009765625,2604.89990234375,2605.300048828125,592
2024-12-23,2612.300048828125,2627.699951171875,2611.10009765625,2620.0,451
2024-12-24,2620.0,2620.0,2609.5,2613.0,35
2024-12-26,2638.800048828125,2638.800048828125,2627.89990234375,2628.5,84
2024-12-27,2617.199951171875,2617.699951171875,2616.39990234375,2617.699951171875,642
2024-12-30,2606.10009765625,2626.89990234375,2597.0,2620.699951171875,794
2024-12-31,2629.199951171875,2629.199951171875,2604.89990234375,2608.39990234375,401
2025-01-02,2658.89990234375,2663.10009765625,2633.0,2633.0,1728
2025-01-03,2645.0,2658.699951171875,2641.800048828125,2658.699951171875,591
2025-01-06,2638.39990234375,2647.0,2617.300048828125,2645.5,960
2025-01-07,2656.699951171875,2657.5,2653.0,2653.39990234375,643
2025-01-08,2664.5,2676.89990234375,2653.5,2655.5,999
2025-01-09,2683.800048828125,2686.300048828125,2667.89990234375,2669.699951171875,1139
2025-01-10,2708.5,2720.10009765625,2683.699951171875,2686.10009765625,403
2025-01-13,2673.5,2711.199951171875,2673.5,2711.10009765625,765
2025-01-14,2677.5,2688.300048828125,2670.800048828125,2673.60009765625,794
2025-01-15,2712.5,2712.5,2690.800048828125,2690.800048828125,930
2025-01-16,2746.39990234375,2749.800048828125,2731.699951171875,2731.699951171875,1721
2025-01-17,2744.300048828125,2751.60009765625,2725.5,2736.0,1214
2025-01-21,2755.0,2755.0,2724.800048828125,2746.0,1439
2025-01-22,2767.60009765625,2768.800048828125,2753.5,2754.5,2079
2025-01-23,2763.10009765625,2765.0,2745.39990234375,2760.0,2201
2025-01-24,2777.300048828125,2792.0,2759.800048828125,2759.800048828125,1593
2025-01-27,2737.5,2762.199951171875,2737.5,2761.10009765625,984
2025-01-28,2766.800048828125,2766.800048828125,2738.0,2738.0,2307
2025-01-29,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692
2025-01-30,2823.0,2829.5,2770.0,2772.5,40141
2025-01-31,2812.5,2838.0,2804.0,2829.0,3443
2025-02-03,2833.89990234375,2848.39990234375,2780.89990234375,2818.199951171875,2649
2025-02-04,2853.300048828125,2853.300048828125,2816.10009765625,2827.60009765625,2187
2025-02-05,2871.60009765625,2880.5,2848.0,2850.0,4519
2025-02-06,2856.0,2871.699951171875,2836.300048828125,2865.199951171875,3116
2025-02-07,2867.300048828125,2889.5,2857.800048828125,2859.89990234375,1822
2025-02-10,2914.300048828125,2916.10009765625,2863.800048828125,2864.199951171875,2237
2025-02-11,2912.5,2945.39990234375,2890.0,2925.5,2554
2025-02-12,2909.0,2912.300048828125,2868.60009765625,2902.0,2504
2025-02-13,2925.89990234375,2937.699951171875,2910.60009765625,2911.300048828125,4670
2025-02-14,2883.60009765625,2944.39990234375,2874.800048828125,2937.300048828125,1992
2025-02-18,2931.60009765625,2936.39990234375,2873.800048828125,2879.199951171875,4010
2025-02-19,2919.39990234375,2946.0,2917.10009765625,2938.699951171875,2630
2025-02-20,2940.0,2955.800048828125,2924.199951171875,2949.10009765625,656
2025-02-21,2937.60009765625,2940.0,2917.300048828125,2938.800048828125,570
2025-02-24,2947.89990234375,2957.89990234375,2933.10009765625,2933.10009765625,415
2025-02-25,2904.5,2943.199951171875,2890.0,2938.699951171875,1854
2025-02-26,2916.800048828125,2917.0,2913.0,2913.5,2050
2025-02-27,2883.199951171875,2922.800048828125,2870.39990234375,2918.5,3215
2025-02-28,2836.800048828125,2877.10009765625,2834.10009765625,2877.10009765625,990
2025-03-03,2890.199951171875,2891.800048828125,2863.39990234375,2872.699951171875,423
2025-03-04,2909.60009765625,2927.89990234375,2886.10009765625,2886.10009765625,885
2025-03-05,2915.300048828125,2922.0,2893.0,2916.699951171875,551
2025-03-06,2916.60009765625,2918.60009765625,2903.800048828125,2904.0,870
2025-03-07,2904.699951171875,2927.300048828125,2900.5,2900.89990234375,531
2025-03-10,2891.0,2915.10009765625,2880.199951171875,2910.10009765625,55
2025-03-11,2912.89990234375,2916.699951171875,2880.39990234375,2884.39990234375,197
2025-03-12,2939.10009765625,2939.10009765625,2910.0,2912.0,213
2025-03-13,2984.300048828125,2988.0,2935.199951171875,2937.10009765625,2366
2025-03-14,2994.5,3004.800048828125,2986.0,2994.39990234375,1800
2025-03-17,3000.0,3001.5,2989.0,2991.0,214
2025-03-18,3035.10009765625,3039.199951171875,3004.39990234375,3006.39990234375,428
2025-03-19,3035.89990234375,3050.89990234375,3030.89990234375,3035.199951171875,175
2025-03-20,3040.0,3047.300048828125,3034.39990234375,3047.300048828125,185
2025-03-21,3018.199951171875,3037.5,3000.89990234375,3034.5,151
2025-03-24,3013.10009765625,3024.300048828125,3006.0,3024.300048828125,137
