Date,Open,High,Low,Close,Adj Close,Volume
2023-03-20,1.0790512561798096,1.0820403099060059,1.0740907192230225,1.0790512561798096,1.0790512561798096,0
2023-03-21,1.0761945247650146,1.0840461254119873,1.0733875036239624,1.0761945247650146,1.0761945247650146,0
2023-03-22,1.0852224826812744,1.086130142211914,1.0816657543182373,1.0852224826812744,1.0852224826812744,0
2023-03-23,1.0910836458206177,1.096214771270752,1.089858889579773,1.0910836458206177,1.0910836458206177,0
2023-03-24,1.091226577758789,1.0922993421554565,1.0851519107818604,1.091226577758789,1.091226577758789,0
2023-03-27,1.0905125141143799,1.0921083688735962,1.087074637413025,1.087074637413025,1.087074637413025,0
2023-03-28,1.0928722620010376,1.0945708751678467,1.0844576358795166,1.0928722620010376,1.0928722620010376,0
2023-03-29,1.0864840745925903,1.0909408330917358,1.084481120109558,1.0864840745925903,1.0864840745925903,0
2023-03-30,1.0892059803009033,1.0956863164901733,1.0870037078857422,1.0892059803009033,1.0892059803009033,0
2023-03-31,1.094834566116333,1.0968159437179565,1.089680790901184,1.094834566116333,1.094834566116333,0
2023-04-03,1.0899064540863037,1.0967918634414673,1.0874884128570557,1.0899064540863037,1.0899064540863037,0
2023-04-04,1.0956382751464844,1.1028155088424683,1.0938166379928589,1.0956382751464844,1.0956382751464844,0
2023-04-05,1.1044842004776,1.1090285778045654,1.1037527322769165,1.1044842004776,1.1044842004776,0
2023-04-06,1.1033143997192383,1.1066844463348389,1.101976990699768,1.1033143997192383,1.1033143997192383,0
2023-04-07,1.1057054996490479,1.107051968574524,1.1012609004974365,1.1057054996490479,1.1057054996490479,0
2023-04-10,1.105864405632019,1.1058276891708374,1.0965994596481323,1.105864405632019,1.105864405632019,0
2023-04-11,1.1003400087356567,1.107137680053711,1.100279450416565,1.1003400087356567,1.1003400087356567,0
2023-04-12,1.1075423955917358,1.118080496788025,1.106978416442871,1.1075423955917358,1.1075423955917358,0
2023-04-13,1.11635422706604,1.128668189048767,1.1143302917480469,1.11635422706604,1.11635422706604,0
2023-04-14,1.1248594522476196,1.1276500225067139,1.1164577007293701,1.1248594522476196,1.1248594522476196,0
2023-04-17,1.1175681352615356,1.120787262916565,1.1116422414779663,1.1175681352615356,1.1175681352615356,0
2023-04-18,1.1129536628723145,1.1168192625045776,1.112817406654358,1.1129536628723145,1.1129536628723145,0
2023-04-19,1.1161960363388062,1.116432785987854,1.110839605331421,1.1161960363388062,1.1161960363388062,0
2023-04-20,1.1139578819274902,1.1210134029388428,1.1133129596710205,1.1139578819274902,1.1139578819274902,0
2023-04-21,1.1206742525100708,1.1226242780685425,1.116994023323059,1.1206742525100708,1.1206742525100708,0
2023-04-24,1.1214534044265747,1.1259993314743042,1.1202096939086914,1.1214534044265747,1.1214534044265747,0
2023-04-25,1.1272813081741333,1.1287955045700073,1.1203980445861816,1.1272813081741333,1.1272813081741333,0
2023-04-26,1.1213024854660034,1.129420280456543,1.1204482316970825,1.1213024854660034,1.1213024854660034,0
